job_name,task_name,inst_num,status,start_time,end_time,plan_cpu,plan_mem,plan_gpu,gpu_type
648a100b9ecb352e43ce882d,tensorflow,1,Terminated,2024089,2030026,600,29.296875,10,MISC
5e42f7aadaa9d1dd71473f5e,tensorflow,1,Terminated,1848503,1850731,600,29.296875,100,MISC
a9d53fcfdecde5b9606dc24d,tensorflow,1,Terminated,1791986,1796852,600,29.296875,10,MISC
2f8244a07e87abec93e62348,ps,1,Terminated,2958052,2967638,600,29.296875,,
f247f3421e0f9e009501e640,worker,50,Terminated,3353585,3353794,400,19.53125,50,MISC
6e7d30f8b27def36ad468539,ReduceTask,1,Running,2525453,,,,,
857b7182fb7115a88e378588,ps,1,Terminated,1152311,1155105,600,19.53125,,
9cf6c594ae727f325c2d57e8,tensorflow,1,Failed,3227251,,20,29.296875,10,MISC
4469c7ea017f167239c58f53,worker,1,Terminated,3295812,3295842,600,29.296875,100,MISC
84dda8732f063c1be4151042,ps,1,Terminated,3721768,3721782,100,2,,
1ce77d4d1e6abe01e6d4a3d9,xComputeWorker,1,Terminated,2514861,2514872,200,0.99609375,,
96c5c75f2eb75e90edfbedcf,tensorflow,1,Terminated,2833518,2833698,600,29.296875,25,MISC
046c80e3bea66d736e480bde,tensorflow,1,Terminated,1671302,1672463,600,29.296875,200,T4
033a2106ae9af841dbc89f49,tensorflow,1,Terminated,3102039,3102095,600,29.296875,50,MISC
ed74dc5663aae3f7c8f10a8e,TensorboardTask,1,Terminated,3122064,3123833,800,31.26953125,,
84dda8732f063c1be4151042,worker,29,Terminated,3721772,3726984,600,2,25,T4
7763d51234844f703d20a634,tensorflow,1,Terminated,3727382,3727602,600,29.296875,100,P100
d3b867b4e0261794cb83a8ff,tensorflow,1,Terminated,1703396,1707713,600,29.296875,10,MISC
94a5da1ec6c78fb183636a65,worker,10,Terminated,1605614,1607819,600,2,25,T4
366a9e43fb4b6fb92bd5ccc0,tensorflow,1,Running,1565695,,600,29.296875,25,MISC
e65f70d36e98966e6eaaa12f,worker,12,Terminated,2434532,2437981,600,2,25,T4
e75c6060b1aeff164f596aad,PyTorchWorker,1,Terminated,1734082,1737869,1800,58.59375,100,P100
31ced4f4917d32abcbfbda4f,worker,1,Terminated,1330305,1330642,600,29.296875,100,T4
b8c133021dd5af0ff9dd5a09,worker,30,Terminated,1149050,1154148,600,29.296875,50,MISC
b5aa2d0d1001241a9b99a3ba,worker,36,Terminated,1150530,1162480,600,29.296875,100,V100
04ce422253b11445fe9f911e,tensorflow,1,Terminated,1581553,1581579,600,29.296875,100,MISC
ffc3392e310b547d057412f8,PyTorchWorker,1,Terminated,1831127,1847031,1800,58.59375,100,P100
efdfd54bb1d94673d343aa2a,tensorflow,1,Terminated,1796849,1797835,600,29.296875,100,MISC
bd9bc47ab9c6c7b81cf82e8b,worker,12,Failed,1436316,,600,2,25,T4
75324156d80e37ffabfc458b,worker,1,Terminated,2051200,2051269,600,2.9296875,100,MISC
2a0d33e0c1473bb74c816639,tensorflow,1,Terminated,2367498,2367676,600,29.296875,100,MISC
263c9634d62057e785521e7e,worker,1,Terminated,2378478,2378694,600,29.296875,100,T4
48d6afe44f487aa4ad07ad3e,ps,3,Running,2271477,,900,29.296875,,
6224587233f26636ecd2e6d6,tensorflow,1,Terminated,1379700,1398296,600,29.296875,100,MISC
ab92c091246b2613277efe71,tensorflow,1,Terminated,2212691,2225545,600,29.296875,10,MISC
aa1fce89f61abc4e014a9e3f,worker,2,Running,2273607,2273629,600,29.296875,10,MISC
